,and,arrow,attribute,class,colon,comma,constructor,div,dot,else,eq,equal,float,floatlit,function,geq,gt,id,if,integer,intlit,isa,lcurbr,leq,localvar,lpar,lsqbr,lt,minus,mult,neq,not,or,plus,private,public,rcurbr,read,return,rpar,rsqbr,semi,sr,then,void,while,write,$
ADDOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minus,,,,or,plus,,,,,,,,,,,,,,
APARAMS,,,,,,,,,,,,,,EXPR REPTAPARAMS1,,,,EXPR REPTAPARAMS1,,,EXPR REPTAPARAMS1,,,,,EXPR REPTAPARAMS1,,,EXPR REPTAPARAMS1,,,EXPR REPTAPARAMS1,,EXPR REPTAPARAMS1,,,,,,EPSILON,,,,,,,,
APARAMSTAIL,,,,,,comma EXPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARITHEXPR,,,,,,,,,,,,,,TERM RIGHTRECARITHEXPR,,,,TERM RIGHTRECARITHEXPR,,,TERM RIGHTRECARITHEXPR,,,,,TERM RIGHTRECARITHEXPR,,,TERM RIGHTRECARITHEXPR,,,TERM RIGHTRECARITHEXPR,,TERM RIGHTRECARITHEXPR,,,,,,,,,,,,,,
ARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,lsqbr rsqbr,,,,,,,,,,,,,,,,,,,,,
ASSIGNOP,,,,,,,,,,,,equal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASSIGNSTAT,,,,,,,,,,,,,,,,,,VARIABLE ASSIGNOP EXPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLASSDECL,,,,class id OPTCLASSDECL2 lcurbr REPTCLASSDECL4 rcurbr semi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLASSDECLORFUNCDEF,,,,CLASSDECL,,,,,,,,,,,FUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPR,,,,,,,,,,,,,,RELEXPR,,,,RELEXPR,,,RELEXPR,,,,,RELEXPR,,,RELEXPR,,,RELEXPR,,RELEXPR,,,,,,,,,,,,,,
FACTOR,,,,,,,,,,,,,,floatlit,,,,FUNCTIONCALL,,,intlit,,,,,lpar ARITHEXPR rpar,,,SIGN FACTOR,,,not FACTOR,,SIGN FACTOR,,,,,,,,,,,,,,
