$,private,public,id,float,integer,semi,rpar,lpar,return,write,read,while,else,then,if,rcurbr,lcurbr,minus,plus,void,comma,geq,leq,gt,lt,neq,eq,sr,isa,and,div,mult,colon,attribute,constructor,arrow,function,localvar,rsqbr,lsqbr,dot,not,floatlit,intlit,class,equal,or,
ADDOP,,,,,,,,,,,,,,,,,,,ADDOP → minus,ADDOP → plus,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADDOP → or
APARAMS,,,,APARAMS → EXPR REPTAPARAMS1,,,,APARAMS → &epsilon,APARAMS → EXPR REPTAPARAMS1,,,,,,,,,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,,,,,,,,,,,,,,,,,,,,,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,APARAMS → EXPR REPTAPARAMS1,,,
APARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,APARAMSTAIL → comma EXPR,,,,,,,,,,,,,,,,,,,,,,,,,,
ARITHEXPR,,,,ARITHEXPR → TERM RIGHTRECARITHEXPR,,,,,ARITHEXPR → TERM RIGHTRECARITHEXPR,,,,,,,,,,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,,,,,,,,,,,,,,,,,,,,,,,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,ARITHEXPR → TERM RIGHTRECARITHEXPR,,,
ARRAYSIZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE → lsqbr intlit rsqbr,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRAYSIZE → lsqbr rsqbr,,,,,,,
ASSIGNOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASSIGNOP → equal,
ASSIGNSTAT,,,,ASSIGNSTAT → VARIABLE ASSIGNOP EXPR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLASSDECL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECL → class id OPTCLASSDECL2 lcurbr REPTCLASSDECL4 rcurbr semi,,
CLASSDECLORFUNCDEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CLASSDECLORFUNCDEF → FUNCDEF,,,,,,,,CLASSDECLORFUNCDEF → CLASSDECL,,
EXPR,,,,EXPR → ARITHEXPR,,,,,EXPR → ARITHEXPR,,,,,,,,,,EXPR → ARITHEXPR,EXPR → ARITHEXPR,,,,,,,,,,,,,,,,,,,,,,,EXPR → ARITHEXPR,EXPR → ARITHEXPR,EXPR → ARITHEXPR,,,
,,,,EXPR → RELEXPR,,,,,EXPR → RELEXPR,,,,,,,,,,EXPR → RELEXPR,EXPR → RELEXPR,,,,,,,,,,,,,,,,,,,,,,,EXPR → RELEXPR,EXPR → RELEXPR,EXPR → RELEXPR,,,
FACTOR,,,,FACTOR → VARIABLE,,,,,FACTOR → lpar ARITHEXPR rpar,,,,,,,,,,FACTOR → SIGN FACTOR,FACTOR → SIGN FACTOR,,,,,,,,,,,,,,,,,,,,,,,FACTOR → not FACTOR,FACTOR → floatlit,FACTOR → intlit,,,
,,,,FACTOR → FUNCTIONCALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMS,,,,FPARAMS → id colon TYPE REPTFPARAMS3 REPTFPARAMS4,,,,FPARAMS → &epsilon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPARAMSTAIL,,,,,,,,,,,,,,,,,,,,,,FPARAMSTAIL → comma id colon TYPE REPTFPARAMSTAIL4,,,,,,,,,,,,,,,,,,,,,,,,,,
FUNCBODY,,,,,,,,,,,,,,,,,,FUNCBODY → lcurbr REPTFUNCBODY1 rcurbr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
